GENEID;Series1_NHBE_Mock_1;Series1_NHBE_Mock_2;Series1_NHBE_Mock_3;Series1_NHBE_SARS.CoV.2_1;Series1_NHBE_SARS.CoV.2_2;Series1_NHBE_SARS.CoV.2_3;Series2_A549_Mock_1;Series2_A549_Mock_2;Series2_A549_Mock_3;Series2_A549_SARS.CoV.2_1;Series2_A549_SARS.CoV.2_2;Series2_A549_SARS.CoV.2_3;Series3_A549_Mock_1;Series3_A549_Mock_2;Series3_A549_RSV_1;Series3_A549_RSV_2;Series4_A549_Mock_1;Series4_A549_Mock_2;Series4_A549_IAV_1;Series4_A549_IAV_2;Series5_A549_Mock_1;Series5_A549_Mock_2;Series5_A549_Mock_3;Series5_A549_SARS.CoV.2_1;Series5_A549_SARS.CoV.2_2;Series5_A549_SARS.CoV.2_3;Series6_A549.ACE2_Mock_1;Series6_A549.ACE2_Mock_2;Series6_A549.ACE2_Mock_3;Series6_A549.ACE2_SARS.CoV.2_1;Series6_A549.ACE2_SARS.CoV.2_2;Series6_A549.ACE2_SARS.CoV.2_3;Series7_Calu3_Mock_1;Series7_Calu3_Mock_2;Series7_Calu3_Mock_3;Series7_Calu3_SARS.CoV.2_1;Series7_Calu3_SARS.CoV.2_2;Series7_Calu3_SARS.CoV.2_3;Series8_A549_Mock_1;Series8_A549_Mock_2;Series8_A549_Mock_3;Series8_A549_RSV_1;Series8_A549_RSV_2;Series8_A549_RSV_3;Series8_A549_HPIV3_3;Series8_A549_HPIV3_2;Series8_A549_HPIV3_1;Series9_NHBE_Mock_1;Series9_NHBE_Mock_2;Series9_NHBE_Mock_3;Series9_NHBE_Mock_4;Series9_NHBE_IAV_1;Series9_NHBE_IAV_2;Series9_NHBE_IAV_3;Series9_NHBE_IAV_4;Series9_NHBE_IAVdNS1_1;Series9_NHBE_IAVdNS1_2;Series9_NHBE_IAVdNS1_3;Series9_NHBE_IAVdNS1_4;Series9_NHBE_IFNB_4h_1;Series9_NHBE_IFNB_4h_2;Series9_NHBE_IFNB_6h_1;Series9_NHBE_IFNB_6h_2;Series9_NHBE_IFNB_12h_1;Series9_NHBE_IFNB_12h_2;Series15_HealthyLungBiopsy_2;Series15_HealthyLungBiopsy_1;Series15_COVID19Lung_2;Series15_COVID19Lung_1;Series16_A549.ACE2_Mock_1;Series16_A549.ACE2_Mock_2;Series16_A549.ACE2_Mock_3;Series16_A549.ACE2_SARS.CoV.2_1;Series16_A549.ACE2_SARS.CoV.2_2;Series16_A549.ACE2_SARS.CoV.2_3;Series16_A549.ACE2_SARS.CoV.2_Rux_1;Series16_A549.ACE2_SARS.CoV.2_Rux_2;Series16_A549.ACE2_SARS.CoV.2_Rux_3
ENSG00000004468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000004478;95.14936237;85.43887645;87.64925096;90.4883647;104.5237507;106.0850025;131.977224;130.9422574;137.1626867;128.2062485;139.5759419;143.9467383;76.78328716;77.81636495;74.82970097;81.12095207;151.6339485;157.4155102;179.9290683;204.0871023;132.1792698;130.4079839;125.9297422;76.19072727;63.08149825;65.58687439;179.0869817;169.1898839;174.043318;162.3218232;181.7105218;167.0384627;116.6756239;114.3321484;114.2518233;87.92630833;84.17604394;89.31205021;133.4482833;169.6730225;151.1759463;300.3142114;261.6747243;278.6284197;169.1318409;174.1564665;160.7808001;126.8177008;123.4647211;115.8411737;122.8649744;153.6891428;161.8413035;185.5661468;175.9091495;112.9485348;114.3124198;158.0479662;131.0662302;101.5086549;94.90493649;91.02322806;94.09567789;119.1607367;113.0511346;35.9956405;105.4740728;55.82195781;78.6613733;234.7646667;254.747554;259.9433873;135.1130998;156.0656017;148.8096993;125.4290593;165.9578992;169.7729204
ENSG00000004660;2.393720819;1.80254124;2.219445782;2.016683758;1.720919156;1.589318202;24.25358943;25.36817334;25.27596449;16.96406938;19.29673302;19.76187869;19.37340752;20.35927693;12.08157289;12.71867588;28.56910026;26.94557156;13.34605602;20.09389092;26.3937937;27.48979714;29.61557889;27.85921957;25.14284633;28.88501537;9.321122327;6.537887132;7.832873005;10.92782054;13.11988361;14.80534021;2.968695822;2.517337121;2.833186809;2.118550446;1.765409949;2.774020143;10.32319433;19.64534802;21.28793422;7.794705782;7.38376472;7.079701532;12.06719388;15.16133157;11.17859573;5.337329733;3.097423176;3.747735672;2.653082268;4.68949187;3.167985628;3.124833991;2.433361682;1.951516574;2.67785917;2.01889898;1.70187714;3.345771658;3.756396867;3.830061174;2.717093025;1.701158514;1.928696308;12.29760138;3.046219706;0.0;0.0;8.242911603;10.49845473;10.57834165;32.28434242;30.75110087;28.57731601;54.85349946;44.6824648;42.36304611
ENSG00000004779;78.78738772;93.91484436;94.02016552;68.08316401;90.20868761;79.64015352;210.5883446;194.4471936;192.0106292;222.4063693;194.8633128;208.2728251;168.157093;223.8816529;222.4828644;185.3650154;204.9027424;202.6906403;166.8328054;256.2080206;186.1695202;184.0526244;174.0371405;128.7796143;126.9268716;109.7940118;311.8132991;268.4734242;293.9529952;237.6571703;327.9178747;308.9063901;440.8024042;455.8350669;412.7612201;232.9842667;264.8434599;246.1988353;113.6128158;181.1571184;170.3830396;185.8060335;154.5238964;169.2563231;165.5248578;167.036424;170.0895778;170.8743468;177.1932885;256.9837037;249.1812292;187.0455678;178.9307461;203.0252049;170.0500886;244.8779601;221.2701525;154.7971096;199.8002855;197.0237148;185.597387;223.726992;199.2053662;222.2211684;207.6431108;185.228775;196.4649189;26.67116593;0.0;240.555815;236.2762024;242.434454;141.8805941;136.6803882;125.1674304;126.4838837;129.2919923;141.3678649
ENSG00000004799;1.425481259;1.920939685;1.925378794;1.025264533;0.675361693;0.299383629;19.96199472;18.61752889;16.17765589;36.06428203;23.83359216;26.101767;56.01406076;92.32485662;43.32062439;32.71972627;20.76562258;21.86567337;33.196879;21.58709102;49.27139281;54.5505171;55.50435739;32.67449082;20.51768018;35.30409915;17.19807796;21.39377971;15.60738308;39.53065897;35.28097487;42.19029208;4.534218283;2.724719222;3.386643056;4.341367234;6.430252031;5.637083975;2.200252979;53.9551609;80.16030721;11.65535799;11.2443458;10.58786249;73.23695233;53.21486334;92.43314723;0.409811995;0.097678951;0.225629564;0.125499622;0.042253062;0.262248463;0.56807352;0.661122255;0.13971732;0.073891797;1.528010265;0.0639468;1.010681989;1.269423744;1.183674326;0.738209482;0.901269151;0.549364546;148.3473312;31.92203016;7.198645282;0.0;25.34909687;26.31852543;24.8653951;43.38922117;27.34430148;26.9672493;41.70029244;27.22500137;22.59968644
ENSG00000004809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000004864;18.39090246;19.66074033;20.76186235;19.6370362;19.20083259;19.74693387;45.02073769;39.32775128;41.22545736;45.83358578;40.62625674;43.24349409;14.68030027;21.64248866;14.42701663;15.47323806;42.85691455;38.85844297;47.47477344;38.00085211;41.43233628;46.17814013;42.25195517;40.52896702;38.28646171;36.9008487;52.42231641;51.36203708;50.297438;56.28220276;51.50007416;53.38569532;17.08055349;13.20981704;16.45049247;15.85484999;16.69340265;15.91200501;4.289428694;45.60275763;45.77348932;36.22184096;31.48462181;38.10755083;42.21889319;37.93406548;48.69189216;23.53529646;20.43913146;24.20498474;28.06834483;33.0830665;24.25633335;23.71828363;21.99131889;26.11076169;23.44466654;21.72100491;11.4172654;21.88215078;19.60517162;26.40911076;25.81477644;25.69181114;22.49089602;8.106803918;20.86722965;10.77161471;5.767941769;44.81097554;42.95606277;36.995003;41.71509019;40.22964068;37.23927049;47.09638612;46.68948043;47.63503771
ENSG00000004939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000004961;22.58327602;23.48849363;29.2661773;22.83890039;22.22641791;23.69979142;39.41434477;36.24901803;43.32375996;43.57724814;37.21206933;42.89901344;22.08646659;24.44763033;21.20813207;22.93725162;37.51314389;42.91698813;50.29312932;39.54856822;42.62902666;44.743366;43.99414523;41.27827342;38.0295312;40.52338867;62.81680096;72.13089411;59.42300901;83.25682239;81.19558719;86.01666248;48.15559726;35.59410683;42.70882403;51.92465272;42.82007273;43.97752673;13.47664105;46.43434747;49.29255376;51.30065455;48.76426159;57.59759855;53.1020279;52.74722608;53.83917353;24.01881185;28.27869638;32.54228315;36.72788658;44.70859787;40.98722711;42.77518434;49.15007293;38.91025624;36.62244695;46.38062514;33.10208048;34.00607802;37.43360323;42.03701325;49.84782106;43.10907127;36.73585355;18.6937042;37.79740978;33.97915743;0.0;65.15768391;62.11455655;60.5094169;119.3879945;123.3545661;117.5928502;131.2229127;137.6706468;138.861932
ENSG00000005022;242.0112754;251.9232296;292.328806;251.5534198;253.0596282;257.9206432;748.4120381;718.5269891;690.5947087;757.6279719;715.3359811;707.0272947;496.5604439;603.4032051;309.0134353;426.6421099;755.2077207;621.223082;863.9102394;873.4007926;915.8398522;920.627544;834.076589;799.6986692;842.3433065;799.5400293;591.4480384;516.4563025;568.4143319;501.2592297;497.6310012;496.0715783;726.9083471;737.1725222;721.0941624;588.6262428;533.4605525;547.563498;447.9428519;823.9664674;834.8200089;705.2276877;693.01529;647.6649897;837.4063075;721.3984346;843.4157441;331.9552414;299.2631935;394.5383523;381.2713721;392.955915;418.5901484;389.7188629;368.3984895;357.2282183;337.9495322;322.9359187;333.4281304;366.1742603;371.5217023;352.6773761;351.5237391;386.04624;362.3533726;324.2973999;455.8090335;394.5813066;321.4049848;546.9720499;626.1854743;580.9002975;388.6638132;391.968589;386.8865897;388.4979611;431.2035243;446.5964685
